Order_ID,Order_Date,Region,Category,Segment,Sales,Profit,Quantity
ORD-1000,2025-01-01,Central,Technology,Corporate,784.62,489.1,5
ORD-1001,2025-01-02,South,Office Supplies,Corporate,406.03,403.36,9
ORD-1002,2025-01-03,East,Office Supplies,Home Office,1494.46,416.24,8
ORD-1003,2025-01-04,Central,Office Supplies,Corporate,1448.82,50.15,3
ORD-1004,2025-01-05,Central,Office Supplies,Home Office,846.27,-76.7,1
ORD-1005,2025-01-06,South,Office Supplies,Consumer,1326.3,81.96,3
ORD-1006,2025-01-07,East,Office Supplies,Home Office,299.29,222.25,4
ORD-1007,2025-01-08,East,Technology,Corporate,432.73,95.99,2
ORD-1008,2025-01-09,Central,Technology,Consumer,1056.53,396.72,1
ORD-1009,2025-01-10,West,Office Supplies,Consumer,1273.06,62.93,7
ORD-1010,2025-01-11,Central,Technology,Consumer,1287.36,479.15,8
ORD-1011,2025-01-12,Central,Furniture,Home Office,618.67,174.36,7
ORD-1012,2025-01-13,Central,Office Supplies,Corporate,1333.9,405.21,5
ORD-1013,2025-01-14,Central,Furniture,Consumer,1279.37,16.63,1
ORD-1014,2025-01-15,South,Furniture,Consumer,1404.74,146.81,7
ORD-1015,2025-01-16,East,Office Supplies,Consumer,1182.3,319.71,7
ORD-1016,2025-01-17,South,Technology,Home Office,1010.1,-16.99,9
ORD-1017,2025-01-18,South,Furniture,Home Office,879.42,-20.35,3
ORD-1018,2025-01-19,South,Office Supplies,Corporate,570.98,481.72,9
ORD-1019,2025-01-20,Central,Furniture,Home Office,1411.4,328.76,1
ORD-1020,2025-01-21,West,Furniture,Consumer,1461.02,-75.36,1
ORD-1021,2025-01-22,East,Furniture,Corporate,440.2,139.29,4
ORD-1022,2025-01-23,West,Furniture,Consumer,471.94,160.11,9
ORD-1023,2025-01-24,South,Technology,Consumer,738.71,346.43,6
ORD-1024,2025-01-25,South,Furniture,Home Office,683.67,50.52,3
ORD-1025,2025-01-26,West,Furniture,Corporate,1491.8,10.6,1
ORD-1026,2025-01-27,West,Furniture,Home Office,280.37,-51.48,4
ORD-1027,2025-01-28,West,Technology,Home Office,46.75,156.99,9
ORD-1028,2025-01-29,South,Furniture,Corporate,750.96,313.1,3
ORD-1029,2025-01-30,South,Furniture,Consumer,284.66,-65.08,9
ORD-1030,2025-01-31,East,Technology,Consumer,562.37,449.13,7
ORD-1031,2025-02-01,East,Technology,Corporate,1121.37,165.41,4
ORD-1032,2025-02-02,South,Technology,Consumer,1086.99,43.87,3
ORD-1033,2025-02-03,West,Furniture,Corporate,475.93,-43.68,5
ORD-1034,2025-02-04,West,Technology,Corporate,822.96,9.72,5
ORD-1035,2025-02-05,East,Technology,Home Office,773.04,460.77,3
ORD-1036,2025-02-06,South,Furniture,Corporate,961.77,282.96,9
ORD-1037,2025-02-07,East,Technology,Home Office,390.68,210.02,4
ORD-1038,2025-02-08,East,Furniture,Consumer,893.01,294.27,5
ORD-1039,2025-02-09,Central,Office Supplies,Consumer,1468.76,161.4,4
ORD-1040,2025-02-10,Central,Technology,Consumer,740.38,338.02,5
ORD-1041,2025-02-11,Central,Office Supplies,Consumer,1361.03,-71.37,7
ORD-1042,2025-02-12,West,Furniture,Home Office,662.9,239.62,9
ORD-1043,2025-02-13,South,Technology,Consumer,538.12,-4.81,7
ORD-1044,2025-02-14,South,Furniture,Corporate,974.75,-27.9,5
ORD-1045,2025-02-15,South,Office Supplies,Corporate,1010.01,105.13,7
ORD-1046,2025-02-16,South,Furniture,Corporate,1298.97,-44.92,5
ORD-1047,2025-02-17,Central,Technology,Home Office,360.67,-43.51,3
ORD-1048,2025-02-18,West,Technology,Consumer,758.81,86.85,7
ORD-1049,2025-02-19,West,Office Supplies,Consumer,866.57,487.71,2
ORD-1050,2025-02-20,Central,Furniture,Consumer,1157.46,5.2,9
ORD-1051,2025-02-21,West,Technology,Home Office,84.53,-89.7,1
ORD-1052,2025-02-22,Central,Office Supplies,Corporate,1491.93,358.02,6
ORD-1053,2025-02-23,South,Technology,Corporate,715.52,384.15,7
ORD-1054,2025-02-24,Central,Technology,Consumer,433.75,107.78,8
ORD-1055,2025-02-25,South,Furniture,Corporate,1327.57,178.8,9
ORD-1056,2025-02-26,South,Technology,Corporate,1126.62,289.86,2
ORD-1057,2025-02-27,East,Furniture,Home Office,1430.55,-71.16,2
ORD-1058,2025-02-28,Central,Technology,Home Office,509.51,469.49,5
ORD-1059,2025-03-01,East,Office Supplies,Home Office,838.09,432.01,5
ORD-1060,2025-03-02,Central,Technology,Home Office,866.99,56.54,6
ORD-1061,2025-03-03,Central,Furniture,Consumer,1470.89,-90.82,3
ORD-1062,2025-03-04,East,Furniture,Home Office,131.51,460.06,8
ORD-1063,2025-03-05,East,Office Supplies,Corporate,472.43,200.62,1
ORD-1064,2025-03-06,Central,Technology,Consumer,302.55,223.63,6
ORD-1065,2025-03-07,West,Technology,Corporate,417.34,310.38,4
ORD-1066,2025-03-08,South,Office Supplies,Corporate,738.21,269.51,1
ORD-1067,2025-03-09,East,Technology,Corporate,571.58,466.33,7
ORD-1068,2025-03-10,South,Technology,Home Office,604.14,466.55,9
ORD-1069,2025-03-11,West,Furniture,Home Office,1269.44,420.32,4
ORD-1070,2025-03-12,West,Technology,Consumer,1396.42,281.84,4
ORD-1071,2025-03-13,West,Technology,Consumer,124.22,380.57,6
ORD-1072,2025-03-14,East,Office Supplies,Home Office,329.2,306.3,3
ORD-1073,2025-03-15,West,Office Supplies,Corporate,1013.29,244.02,6
ORD-1074,2025-03-16,East,Furniture,Consumer,550.8,-22.9,7
ORD-1075,2025-03-17,West,Technology,Home Office,396.16,386.72,3
ORD-1076,2025-03-18,South,Technology,Home Office,457.03,392.38,7
ORD-1077,2025-03-19,South,Technology,Home Office,497.38,275.56,3
ORD-1078,2025-03-20,Central,Furniture,Corporate,1276.03,392.26,2
ORD-1079,2025-03-21,South,Furniture,Home Office,222.2,290.89,4
ORD-1080,2025-03-22,Central,Office Supplies,Home Office,1069.19,24.01,8
ORD-1081,2025-03-23,South,Furniture,Home Office,838.17,64.38,9
ORD-1082,2025-03-24,East,Technology,Home Office,458.84,28.75,7
ORD-1083,2025-03-25,South,Technology,Consumer,641.28,126.36,1
ORD-1084,2025-03-26,Central,Furniture,Consumer,399.19,-76.62,3
ORD-1085,2025-03-27,Central,Technology,Home Office,925.04,270.95,9
ORD-1086,2025-03-28,West,Technology,Corporate,140.76,101.93,1
ORD-1087,2025-03-29,East,Furniture,Consumer,27.67,293.43,9
ORD-1088,2025-03-30,South,Furniture,Home Office,949.28,131.24,8
ORD-1089,2025-03-31,West,Technology,Consumer,307.53,308.97,1
ORD-1090,2025-04-01,South,Technology,Consumer,124.99,104.37,6
ORD-1091,2025-04-02,South,Technology,Corporate,607.24,56.42,5
ORD-1092,2025-04-03,West,Office Supplies,Home Office,95.14,197.62,6
ORD-1093,2025-04-04,West,Office Supplies,Home Office,1332.19,315.73,5
ORD-1094,2025-04-05,West,Office Supplies,Corporate,60.87,109.0,6
ORD-1095,2025-04-06,West,Furniture,Corporate,876.72,461.99,5
ORD-1096,2025-04-07,West,Office Supplies,Home Office,668.94,-76.49,5
ORD-1097,2025-04-08,South,Furniture,Home Office,1014.6,150.77,4
ORD-1098,2025-04-09,West,Furniture,Corporate,505.67,480.55,3
ORD-1099,2025-04-10,East,Office Supplies,Consumer,249.46,228.78,3
