OrderID,Category,Region,Sales,Discount,Profit
1001,Technology,North,1176.86,0.0,294.21
1002,Furniture,West,859.69,0.5,-300.89
1003,Office Supplies,West,665.12,0.2,-6.65
1004,Office Supplies,South,1364.21,0.1,95.49
1005,Technology,East,211.24,0.0,52.81
1006,Technology,East,764.31,0.2,68.79
1007,Technology,East,66.46,0.2,5.98
1008,Furniture,West,729.56,0.1,-21.89
1009,Office Supplies,West,131.64,0.3,-11.85
1010,Office Supplies,West,222.29,0.2,-2.22
1011,Technology,North,220.41,0.0,55.1
1012,Furniture,South,991.35,0.1,-29.74
1013,Furniture,West,1131.77,0.0,56.59
1014,Technology,South,895.88,0.2,80.63
1015,Technology,South,1445.15,0.0,361.29
1016,Technology,East,593.56,0.1,100.91
1017,Technology,North,464.28,0.2,41.79
1018,Office Supplies,West,1309.47,0.3,-117.85
1019,Office Supplies,East,374.21,0.1,26.19
1020,Technology,East,1446.67,0.3,14.47
1021,Office Supplies,West,67.62,0.0,10.14
1022,Technology,South,1456.32,0.3,14.56
1023,Technology,East,112.58,0.0,28.14
1024,Technology,South,1342.16,0.1,228.17
1025,Office Supplies,North,815.17,0.2,-8.15
1026,Office Supplies,South,1489.8,0.0,223.47
1027,Technology,North,157.01,0.0,39.25
1028,Office Supplies,South,853.09,0.2,-8.53
1029,Office Supplies,East,1455.49,0.2,-14.55
1030,Technology,East,808.49,0.2,72.76
1031,Office Supplies,North,962.63,0.2,-9.63
1032,Technology,West,1058.84,0.1,180.0
1033,Technology,North,709.08,0.0,177.27
1034,Furniture,North,959.96,0.1,-28.8
1035,Furniture,South,897.26,0.0,44.86
1036,Furniture,South,1356.68,0.5,-474.84
1037,Technology,North,115.9,0.1,19.7
1038,Technology,East,457.4,0.1,77.76
1039,Office Supplies,South,1428.1,0.1,99.97
1040,Office Supplies,West,1340.88,0.5,-335.22
1041,Technology,South,710.7,0.0,177.68
1042,Office Supplies,South,949.19,0.1,66.44
1043,Technology,West,452.2,0.1,76.87
